Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+128G)","Glowing Blue",Phone,"A18 (4+128G)",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",0,0,31,31,0,0,0,0,0,0,0,0,31,31,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,300,300,0,0,0,0,0,0,0,0,300,300,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,30,30,0,0,0,0,0,0,0,0,30,30,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,81,81,0,0,3,3,0,0,0,0,84,84,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,131,131,0,0,0,0,0,0,0,0,131,131,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,272,272,0,0,0,0,0,0,0,0,272,272,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,9,9,0,0,0,0,0,0,0,0,9,9,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,107,107,0,0,0,0,0,0,0,0,107,107,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",0,0,42,42,0,0,0,0,0,0,0,0,42,42,0
"OPPO A60 (8+128G)","Midnight Purple",Phone,"A60 (8+128G)",0,0,75,75,0,0,0,0,0,0,0,0,75,75,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,41,41,0,0,0,0,0,0,0,0,41,41,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,47,47,0,0,0,0,0,0,0,0,47,47,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,29,29,0,0,0,0,0,0,0,0,29,29,0
"OPPO Reno 12 5G (12+256G)","Matte Brown",Phone,"Reno 12 5G (12+256G)",0,0,11,11,0,0,0,0,0,0,0,0,11,11,0
"OPPO Reno 12 5G (12+256G)","Astro Silver",Phone,"Reno 12 5G (12+256G)",0,0,4,4,0,0,0,0,0,0,0,0,4,4,0
"OPPO Reno 12 Pro (12+512G)","Space Brown",Phone,"Reno 12 Pro (12+512G)",0,0,17,17,0,0,0,0,0,0,0,0,17,17,0
"OPPO Reno 12 Pro (12+512G)","Nebula Silver",Phone,"Reno 12 Pro (12+512G)",0,0,5,5,0,0,0,0,0,0,0,0,5,5,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,96,96,0,0,0,0,0,0,0,0,96,96,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,105,105,0,0,0,0,0,0,0,0,105,105,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,97,97,0,0,0,0,0,0,0,0,97,97,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,104,104,0,0,1,1,0,0,0,0,105,105,0
